"Infinity Tools","无限工具"
"Advanced Pressure Tubes","高级压力管道"
"You'll need to first energize them however, which will require a Powah Energizing orb.","不过，您需要先充能它们，这需要一个Powah充能台"
"Item Collectors","各种物品收集器"
"&o“Adventure. Excitement. A Jedi craves not these things.”&r","&o“冒险。激情。绝地不渴求这类东西”&r"
"Orbit a planet","绕星飞行"
"Using the &bGem Cutting Table&r allows you to refine &6Gem Dust and Rarity Materials&r into new Gems","使用&b宝石切割台&r可以将&6宝石粉和稀有材料&r升级为新的宝石"
"Magical Mass Storage","神奇的大容量存储"
"&6A single bucket of Cryo Fuel&r can fuel a Rocket trip!","&6一桶凛冰燃料&r就可以为火箭飞行提供燃料！"
"For example, they might &6make Lava&r, &6disable teleports&r, &6spawn mobs&r, etc, depending on the Shrine.","例如，&6制作熔岩&r、&6禁用传送&r、&6生成怪物&r等，这取决于神龛类型"
"The Laser beam will damage any mob it touches, lighting them on fire. It will also mine blocks.","激光束会伤害它接触的任何生物，点燃它们。也可以挖矿方块。"
"Deeper and Farther","更深更远"
"Pretty Colors","色彩斑斓"
"Soul Sand → Springaline Desh Mesh","灵魂沙 → 春涌戴斯筛网"
"You can toggle them with the &b/events toggle&r command. Typing that will also show you a list of each.","你可以用 &b/events toggle&r指令来切换它们。 输入时也会显示每个命令的列表。"
"Make a Beehive","制作蜂箱"
"There's no natural life, no dungeons, and only a single featureless structure to be found.","没有自然生物，没有地牢，只能找到一个没什么特征的结构"
"Make a Glassblower","做个吹玻璃机"
"The &bMolten Silver&r is needed to create &6Acetaldehyde&r","&6乙醛&r需要&b熔融银&r制造"
"To become &6over-heated&r, you will have to feed it &6Blaze Cakes&r!","如需&6超级加热&r，你必须喂它&6烈焰蛋糕&r"
"Tools In Pedestals","基座中的工具"
"For more information on how to build it manually check the next pages or ","欲了解更多手动搭建信息，请看下一面或"
"Make a Mob Crusher","制作屠宰机"
"Naturally, the first step of progression is getting resources.","当然，进度的第一步自然是获取资源"
"Sneak right-click a placed Rocket to open its GUI. Here, you can insert &6Fuel&r and insert up to 8 items for it to store.","潜行右击放下的火箭来打开GUI。在这里，你可以输入&6燃料&r并最多存储8个物品"
"Expand your farm from here with a variety of different crops.","用不同种类的作物来扩充你的农场。"
"It would be a good idea to &6bookmark the items page&r, so navigating the Book isn't very quick. ","&6把物品加入书签&r是个好主意，因为这本书读起来不是很快。"
"The &bRedstone Furnace&r allows you to use FE to smelt items instead.","&b红石熔炼炉&r允许你使用FE来烧炼物品。"
"LPG and Coal together in this machine can produce &6Liquid Plastic&r.","液化石油气和煤炭一起放入机器可以生产&6液态塑料&r"
"This Is Not The End","这不是结束"
"Make something from Building Gadgets","用建筑小帮手制作一些东西"
"If certain heat sources have their heat dispersed entirely, it can &6convert to a different block&r. An example of this would be using lava to heat a machine and it eventually cooling to obsidian. ","如果某些热源的热量全部散失，它就会&6转换为不同的方块&r。举个例子：使用熔岩加热机器，最终会冷却成黑曜石。"
"Taking Flight","起飞"
